Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['a', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,"['aba', '##nd']",1,0.6,706.5,0.92
abayed,N,6,"['aba', '##yed']",1,0.67,689.94,0.87
abbear,N,6,"['ab', '##be', '##ar']",2,0.5,560.58,0.95
abbears,N,7,"['ab', '##be', '##ars']",2,0.57,611.41,0.98
abbens,N,6,"['ab', '##ben', '##s']",2,0.5,598.29,1.0
abchaim,N,7,"['abc', '##hai', '##m']",2,0.57,591.76,1.0
abects,N,6,"['abe', '##cts']",1,0.67,635.21,0.98
abeme,N,5,"['abe', '##me']",1,0.6,591.06,0.95
abents,N,6,"['abe', '##nts']",1,0.67,690.26,0.98
abests,N,6,"['abe', '##sts']",1,0.67,640.55,0.89
abik,N,4,"['ab', '##ik']",1,0.5,518.63,1.0
ablobs,N,6,"['ab', '##lo', '##bs']",2,0.5,585.68,1.0
abme,N,4,"['ab', '##me']",1,0.5,532.0,1.0
abne,N,4,"['ab', '##ne']",1,0.5,559.13,0.98
abone,N,5,"['ab', '##one']",1,0.6,702.03,0.87
abones,N,6,"['ab', '##ones']",1,0.67,666.15,0.95
abow,N,4,"['ab', '##ow']",1,0.5,699.42,0.89
abran,N,5,"['ab', '##ran']",1,0.6,579.66,1.0
abrass,N,6,"['ab', '##ras', '##s']",2,0.5,660.74,0.92
abrast,N,6,"['ab', '##ras', '##t']",2,0.5,677.92,0.92
abre,N,4,"['ab', '##re']",1,0.5,671.21,1.0
abreeves,N,8,"['ab', '##ree', '##ves']",2,0.62,666.39,0.8
abroths,N,7,"['ab', '##rot', '##hs']",2,0.57,606.58,0.98
abrush,N,6,"['ab', '##rus', '##h']",2,0.5,746.56,0.74
abscrict,N,8,"['abs', '##cr', '##ic', '##t']",3,0.5,771.29,0.97
abscue,N,6,"['abs', '##cu', '##e']",2,0.5,717.69,0.79
abscued,N,7,"['abs', '##cu', '##ed']",2,0.57,795.59,0.9
abscusts,N,8,"['abs', '##cus', '##ts']",2,0.62,663.85,0.92
absians,N,7,"['abs', '##ians']",1,0.71,697.26,0.92
absidge,N,7,"['abs', '##idge']",1,0.71,633.26,1.0
absigned,N,8,"['abs', '##ign', '##ed']",2,0.62,722.43,0.79
absincts,N,8,"['abs', '##in', '##cts']",2,0.62,732.5,0.7
absipsed,N,8,"['abs', '##ip', '##sed']",2,0.62,567.32,0.97
absirl,N,6,"['abs', '##ir', '##l']",2,0.5,571.71,0.98
abslete,N,7,"['abs', '##lete']",1,0.71,671.5,0.85
absletes,N,8,"['abs', '##lete', '##s']",2,0.62,648.28,0.98
absord,N,6,"['abs', '##ord']",1,0.67,777.93,0.79
absords,N,7,"['abs', '##ord', '##s']",2,0.57,893.5,0.66
absost,N,6,"['abs', '##ost']",1,0.67,689.86,0.97
absosts,N,7,"['abs', '##ost', '##s']",2,0.57,612.73,1.0
absount,N,7,"['abs', '##ount']",1,0.71,662.05,0.98
absounts,N,8,"['abs', '##ount', '##s']",2,0.62,741.0,0.98
abstrade,N,8,"['abs', '##tra', '##de']",2,0.62,733.34,0.95
abstrides,N,9,"['abs', '##tri', '##des']",2,0.67,749.09,0.85
abstuened,N,9,"['abs', '##tu', '##ened']",2,0.67,652.59,1.0
abstuent,N,8,"['abs', '##tu', '##ent']",2,0.62,701.29,0.92
absuse,N,6,"['abs', '##use']",1,0.67,838.12,0.45
absused,N,7,"['abs', '##used']",1,0.71,937.69,0.34
abud,N,4,"['abu', '##d']",1,0.5,630.39,1.0
abusts,N,6,"['abu', '##sts']",1,0.67,706.24,0.85
abvid,N,5,"['ab', '##vid']",1,0.6,604.72,1.0
abwipt,N,6,"['ab', '##wi', '##pt']",2,0.5,539.98,1.0
acaned,N,6,"['ac', '##ane', '##d']",2,0.5,585.1,0.98
acax,N,4,"['ac', '##ax']",1,0.5,516.16,1.0
accar,N,5,"['acc', '##ar']",1,0.6,635.34,0.98
accars,N,6,"['acc', '##ars']",1,0.67,583.26,0.95
acclo,N,5,"['acc', '##lo']",1,0.6,581.68,1.0
accrieve,N,8,"['acc', '##rie', '##ve']",2,0.62,637.29,0.92
accrieved,N,9,"['acc', '##rie', '##ved']",2,0.67,680.18,0.88
accrond,N,7,"['acc', '##ron', '##d']",2,0.57,632.47,0.98
accubes,N,7,"['acc', '##ub', '##es']",2,0.57,589.63,0.95
accult,N,6,"['acc', '##ult']",1,0.67,808.74,0.74
accune,N,6,"['acc', '##une']",1,0.67,726.62,1.0
accurd,N,6,"['acc', '##ur', '##d']",2,0.5,667.48,0.82
accures,N,7,"['acc', '##ures']",1,0.71,806.89,0.53
accusts,N,7,"['acc', '##ust', '##s']",2,0.57,701.68,0.88
aced,N,4,"['ace', '##d']",1,0.5,515.0,0.03
achens,N,6,"['ache', '##ns']",1,0.67,662.46,0.95
achms,N,5,"['ac', '##hm', '##s']",2,0.4,585.37,1.0
achop,N,5,"['ac', '##hop']",1,0.6,585.39,0.95
aciss,N,5,"['ac', '##iss']",1,0.6,574.51,1.0
acive,N,5,"['ac', '##ive']",1,0.6,636.42,0.95
acks,N,4,"['ac', '##ks']",1,0.5,597.64,1.0
acloot,N,6,"['ac', '##lo', '##ot']",2,0.5,534.54,0.97
acnant,N,6,"['ac', '##nant']",1,0.67,544.28,1.0
acone,N,5,"['ac', '##one']",1,0.6,661.72,0.97
acorked,N,7,"['ac', '##or', '##ked']",2,0.57,602.74,0.97
acqure,N,6,"['ac', '##qu', '##re']",2,0.5,797.73,0.89
acqured,N,7,"['ac', '##qu', '##red']",2,0.57,833.72,0.89
acreds,N,6,"['acre', '##ds']",1,0.67,631.29,0.97
acruist,N,7,"['ac', '##ru', '##ist']",2,0.57,643.45,0.98
acsuakes,N,8,"['ac', '##su', '##akes']",2,0.62,582.64,1.0
acter,N,5,"['act', '##er']",1,0.6,821.9,0.5
acters,N,6,"['act', '##ers']",1,0.67,787.91,0.6
actot,N,5,"['act', '##ot']",1,0.6,610.97,0.95
acung,N,5,"['ac', '##ung']",1,0.6,563.81,1.0
adaints,N,7,"['ada', '##int', '##s']",2,0.57,642.22,1.0
