Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['a', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,['aband'],0,0.8,706.5,0.92
abayed,N,6,"['ab', 'ayed']",1,0.67,689.94,0.87
abbear,N,6,"['abb', 'ear']",1,0.67,560.58,0.95
abbears,N,7,"['abb', 'ears']",1,0.71,611.41,0.98
abbens,N,6,"['abb', 'ens']",1,0.67,598.29,1.0
abchaim,N,7,"['ab', 'ch', 'aim']",2,0.57,591.76,1.0
abects,N,6,"['ab', 'ect', 's']",2,0.5,635.21,0.98
abeme,N,5,"['ab', 'eme']",1,0.6,591.06,0.95
abents,N,6,"['ab', 'ents']",1,0.67,690.26,0.98
abests,N,6,"['ab', 'ests']",1,0.67,640.55,0.89
abik,N,4,"['ab', 'ik']",1,0.5,518.63,1.0
ablobs,N,6,"['abl', 'obs']",1,0.67,585.68,1.0
abme,N,4,"['ab', 'me']",1,0.5,532.0,1.0
abne,N,4,"['ab', 'ne']",1,0.5,559.13,0.98
abone,N,5,"['ab', 'one']",1,0.6,702.03,0.87
abones,N,6,"['ab', 'ones']",1,0.67,666.15,0.95
abow,N,4,"['ab', 'ow']",1,0.5,699.42,0.89
abran,N,5,"['ab', 'ran']",1,0.6,579.66,1.0
abrass,N,6,"['ab', 'r', 'ass']",2,0.5,660.74,0.92
abrast,N,6,"['ab', 'rast']",1,0.67,677.92,0.92
abre,N,4,['abre'],0,0.75,671.21,1.0
abreeves,N,8,"['ab', 'ree', 'ves']",2,0.62,666.39,0.8
abroths,N,7,"['ab', 'ro', 'ths']",2,0.57,606.58,0.98
abrush,N,6,"['ab', 'rush']",1,0.67,746.56,0.74
abscrict,N,8,"['ab', 'sc', 'rict']",2,0.62,771.29,0.97
abscue,N,6,"['ab', 'sc', 'ue']",2,0.5,717.69,0.79
abscued,N,7,"['ab', 'sc', 'ued']",2,0.57,795.59,0.9
abscusts,N,8,"['ab', 'sc', 'ust', 's']",3,0.5,663.85,0.92
absians,N,7,"['abs', 'ians']",1,0.71,697.26,0.92
absidge,N,7,"['abs', 'idge']",1,0.71,633.26,1.0
absigned,N,8,"['abs', 'igned']",1,0.75,722.43,0.79
absincts,N,8,"['abs', 'inct', 's']",2,0.62,732.5,0.7
absipsed,N,8,"['abs', 'ips', 'ed']",2,0.62,567.32,0.97
absirl,N,6,"['abs', 'irl']",1,0.67,571.71,0.98
abslete,N,7,"['abs', 'lete']",1,0.71,671.5,0.85
absletes,N,8,"['abs', 'letes']",1,0.75,648.28,0.98
absord,N,6,"['abs', 'ord']",1,0.67,777.93,0.79
absords,N,7,"['abs', 'ords']",1,0.71,893.5,0.66
absost,N,6,"['abs', 'ost']",1,0.67,689.86,0.97
absosts,N,7,"['abs', 'ost', 's']",2,0.57,612.73,1.0
absount,N,7,"['abs', 'ount']",1,0.71,662.05,0.98
absounts,N,8,"['abs', 'ount', 's']",2,0.62,741.0,0.98
abstrade,N,8,"['ab', 'str', 'ade']",2,0.62,733.34,0.95
abstrides,N,9,"['ab', 'str', 'ides']",2,0.67,749.09,0.85
abstuened,N,9,"['ab', 'st', 'u', 'ened']",3,0.56,652.59,1.0
abstuent,N,8,"['ab', 'st', 'u', 'ent']",3,0.5,701.29,0.92
absuse,N,6,"['abs', 'use']",1,0.67,838.12,0.45
absused,N,7,"['abs', 'used']",1,0.71,937.69,0.34
abud,N,4,"['ab', 'ud']",1,0.5,630.39,1.0
abusts,N,6,"['ab', 'ust', 's']",2,0.5,706.24,0.85
abvid,N,5,"['ab', 'vid']",1,0.6,604.72,1.0
abwipt,N,6,"['ab', 'w', 'ipt']",2,0.5,539.98,1.0
acaned,N,6,"['ac', 'aned']",1,0.67,585.1,0.98
acax,N,4,"['ac', 'ax']",1,0.5,516.16,1.0
accar,N,5,"['acc', 'ar']",1,0.6,635.34,0.98
accars,N,6,"['acc', 'ars']",1,0.67,583.26,0.95
acclo,N,5,"['ac', 'cl', 'o']",2,0.4,581.68,1.0
accrieve,N,8,"['acc', 'rieve']",1,0.75,637.29,0.92
accrieved,N,9,"['acc', 'rieved']",1,0.78,680.18,0.88
accrond,N,7,"['acc', 'r', 'ond']",2,0.57,632.47,0.98
accubes,N,7,"['acc', 'ubes']",1,0.71,589.63,0.95
accult,N,6,"['acc', 'ult']",1,0.67,808.74,0.74
accune,N,6,"['acc', 'une']",1,0.67,726.62,1.0
accurd,N,6,"['acc', 'urd']",1,0.67,667.48,0.82
accures,N,7,"['acc', 'ures']",1,0.71,806.89,0.53
accusts,N,7,"['acc', 'ust', 's']",2,0.57,701.68,0.88
aced,N,4,['aced'],0,0.75,515.0,0.03
achens,N,6,"['ac', 'hens']",1,0.67,662.46,0.95
achms,N,5,"['ach', 'ms']",1,0.6,585.37,1.0
achop,N,5,"['ach', 'op']",1,0.6,585.39,0.95
aciss,N,5,"['ac', 'iss']",1,0.6,574.51,1.0
acive,N,5,"['ac', 'ive']",1,0.6,636.42,0.95
acks,N,4,['acks'],0,0.75,597.64,1.0
acloot,N,6,"['acl', 'oot']",1,0.67,534.54,0.97
acnant,N,6,"['ac', 'nant']",1,0.67,544.28,1.0
acone,N,5,"['ac', 'one']",1,0.6,661.72,0.97
acorked,N,7,"['ac', 'ork', 'ed']",2,0.57,602.74,0.97
acqure,N,6,"['acqu', 're']",1,0.67,797.73,0.89
acqured,N,7,"['acqu', 'red']",1,0.71,833.72,0.89
acreds,N,6,"['ac', 'red', 's']",2,0.5,631.29,0.97
acruist,N,7,"['ac', 'ru', 'ist']",2,0.57,643.45,0.98
acsuakes,N,8,"['ac', 'su', 'akes']",2,0.62,582.64,1.0
acter,N,5,['acter'],0,0.8,821.9,0.5
acters,N,6,['acters'],0,0.83,787.91,0.6
actot,N,5,"['act', 'ot']",1,0.6,610.97,0.95
acung,N,5,"['ac', 'ung']",1,0.6,563.81,1.0
adaints,N,7,"['ad', 'aints']",1,0.71,642.22,1.0
adbells,N,7,"['ad', 'bell', 's']",2,0.57,574.81,0.98
adbly,N,5,"['ad', 'bly']",1,0.6,607.84,1.0
adbries,N,7,"['ad', 'b', 'ries']",2,0.57,602.46,1.0
adbu,N,4,"['ad', 'bu']",1,0.5,541.92,1.0
adbys,N,5,"['ad', 'bys']",1,0.6,541.7,0.97
adcorb,N,6,"['ad', 'cor', 'b']",2,0.5,609.51,1.0
adcorbs,N,7,"['ad', 'cor', 'bs']",2,0.57,607.72,1.0
adcorts,N,7,"['ad', 'c', 'orts']",2,0.57,604.78,0.98
addal,N,5,"['add', 'al']",1,0.6,591.97,1.0
addaled,N,7,"['add', 'aled']",1,0.71,671.53,0.98
addave,N,6,"['add', 'ave']",1,0.67,599.15,1.0
adday,N,5,"['ad', 'day']",1,0.6,635.06,0.92
addeared,N,8,"['add', 'eared']",1,0.75,658.59,0.78
addend,N,6,"['add', 'end']",1,0.67,680.94,0.92
addends,N,7,"['add', 'ends']",1,0.71,666.84,0.84
addralt,N,7,"['add', 'ral', 't']",2,0.57,620.76,1.0
addre,N,5,"['add', 're']",1,0.6,556.22,1.0
addume,N,6,"['add', 'ume']",1,0.67,627.68,1.0
addunds,N,7,"['ad', 'du', 'nd', 's']",3,0.43,634.16,0.97
addured,N,7,"['ad', 'du', 'red']",2,0.57,688.17,0.82
addushed,N,8,"['add', 'ushed']",1,0.75,659.53,1.0
adeen,N,5,"['ade', 'en']",1,0.6,636.42,1.0
adfle,N,5,"['ad', 'fle']",1,0.6,525.95,1.0
adfler,N,6,"['ad', 'f', 'ler']",2,0.5,567.05,1.0
adfles,N,6,"['ad', 'f', 'les']",2,0.5,564.0,1.0
adhands,N,7,"['adh', 'ands']",1,0.71,634.51,0.98
