Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
a/c,N,3,"['a', '/', 'c']",2,0.0,668.04,0.77
aband,N,5,"['ab', 'and']",1,0.6,706.5,0.92
abayed,N,6,"['ab', 'ay', 'ed']",2,0.5,689.94,0.87
abbear,N,6,"['ab', 'be', 'ar']",2,0.5,560.58,0.95
abbears,N,7,"['ab', 'be', 'ar', 's']",3,0.43,611.41,0.98
abbens,N,6,"['ab', 'ben', 's']",2,0.5,598.29,1.0
abchaim,N,7,"['ab', 'cha', 'im']",2,0.57,591.76,1.0
abects,N,6,"['a', 'be', 'ct', 's']",3,0.33,635.21,0.98
abeme,N,5,"['a', 'be', 'me']",2,0.4,591.06,0.95
abents,N,6,"['ab', 'ents']",1,0.67,690.26,0.98
abests,N,6,"['ab', 'est', 's']",2,0.5,640.55,0.89
abik,N,4,"['ab', 'ik']",1,0.5,518.63,1.0
ablobs,N,6,"['ab', 'lo', 'b', 's']",3,0.33,585.68,1.0
abme,N,4,"['ab', 'me']",1,0.5,532.0,1.0
abne,N,4,"['ab', 'ne']",1,0.5,559.13,0.98
abone,N,5,"['ab', 'one']",1,0.6,702.03,0.87
abones,N,6,"['ab', 'on', 'es']",2,0.5,666.15,0.95
abow,N,4,"['ab', 'o', 'w']",2,0.25,699.42,0.89
abran,N,5,"['ab', 'r', 'an']",2,0.4,579.66,1.0
abrass,N,6,"['ab', 'r', 'as', 's']",3,0.33,660.74,0.92
abrast,N,6,"['ab', 'r', 'as', 't']",3,0.33,677.92,0.92
abre,N,4,"['ab', 're']",1,0.5,671.21,1.0
abreeves,N,8,"['ab', 're', 'e', 'ves']",3,0.5,666.39,0.8
abroths,N,7,"['ab', 'ro', 'th', 's']",3,0.43,606.58,0.98
abrush,N,6,"['ab', 'r', 'us', 'h']",3,0.33,746.56,0.74
abscrict,N,8,"['ab', 's', 'cr', 'ic', 't']",4,0.38,771.29,0.97
abscue,N,6,"['ab', 's', 'cu', 'e']",3,0.33,717.69,0.79
abscued,N,7,"['ab', 's', 'cu', 'ed']",3,0.43,795.59,0.9
abscusts,N,8,"['ab', 's', 'c', 'us', 'ts']",4,0.38,663.85,0.92
absians,N,7,"['ab', 'si', 'ans']",2,0.57,697.26,0.92
absidge,N,7,"['ab', 's', 'id', 'ge']",3,0.43,633.26,1.0
absigned,N,8,"['ab', 'si', 'g', 'ne', 'd']",4,0.38,722.43,0.79
absincts,N,8,"['ab', 'sin', 'ct', 's']",3,0.5,732.5,0.7
absipsed,N,8,"['ab', 'si', 'p', 'se', 'd']",4,0.38,567.32,0.97
absirl,N,6,"['ab', 's', 'ir', 'l']",3,0.33,571.71,0.98
abslete,N,7,"['ab', 's', 'le', 'te']",3,0.43,671.5,0.85
absletes,N,8,"['ab', 's', 'le', 'tes']",3,0.5,648.28,0.98
absord,N,6,"['ab', 's', 'ord']",2,0.5,777.93,0.79
absords,N,7,"['ab', 's', 'ord', 's']",3,0.43,893.5,0.66
absost,N,6,"['ab', 's', 'os', 't']",3,0.33,689.86,0.97
absosts,N,7,"['ab', 's', 'os', 'ts']",3,0.43,612.73,1.0
absount,N,7,"['ab', 's', 'oun', 't']",3,0.43,662.05,0.98
absounts,N,8,"['ab', 's', 'oun', 'ts']",3,0.5,741.0,0.98
abstrade,N,8,"['ab', 's', 'tra', 'de']",3,0.5,733.34,0.95
abstrides,N,9,"['ab', 's', 'tri', 'des']",3,0.56,749.09,0.85
abstuened,N,9,"['ab', 'st', 'u', 'en', 'ed']",4,0.44,652.59,1.0
abstuent,N,8,"['ab', 'st', 'u', 'ent']",3,0.5,701.29,0.92
absuse,N,6,"['ab', 'su', 'se']",2,0.5,838.12,0.45
absused,N,7,"['ab', 'su', 'se', 'd']",3,0.43,937.69,0.34
abud,N,4,"['ab', 'ud']",1,0.5,630.39,1.0
abusts,N,6,"['ab', 'us', 'ts']",2,0.5,706.24,0.85
abvid,N,5,"['ab', 'vid']",1,0.6,604.72,1.0
abwipt,N,6,"['ab', 'w', 'i', 'p', 't']",4,0.17,539.98,1.0
acaned,N,6,"['ac', 'an', 'ed']",2,0.5,585.1,0.98
acax,N,4,"['ac', 'a', 'x']",2,0.25,516.16,1.0
accar,N,5,"['ac', 'car']",1,0.6,635.34,0.98
accars,N,6,"['ac', 'car', 's']",2,0.5,583.26,0.95
acclo,N,5,"['ac', 'c', 'lo']",2,0.4,581.68,1.0
accrieve,N,8,"['ac', 'cr', 'ie', 've']",3,0.5,637.29,0.92
accrieved,N,9,"['ac', 'cr', 'ie', 've', 'd']",4,0.44,680.18,0.88
accrond,N,7,"['ac', 'cr', 'ond']",2,0.57,632.47,0.98
accubes,N,7,"['ac', 'cu', 'b', 'es']",3,0.43,589.63,0.95
accult,N,6,"['ac', 'cu', 'l', 't']",3,0.33,808.74,0.74
accune,N,6,"['ac', 'c', 'une']",2,0.5,726.62,1.0
accurd,N,6,"['ac', 'cur', 'd']",2,0.5,667.48,0.82
accures,N,7,"['ac', 'cur', 'es']",2,0.57,806.89,0.53
accusts,N,7,"['ac', 'c', 'us', 'ts']",3,0.43,701.68,0.88
aced,N,4,"['a', 'ce', 'd']",2,0.25,515.0,0.03
achens,N,6,"['ach', 'ens']",1,0.67,662.46,0.95
achms,N,5,"['ach', 'm', 's']",2,0.4,585.37,1.0
achop,N,5,"['ach', 'op']",1,0.6,585.39,0.95
aciss,N,5,"['ac', 'is', 's']",2,0.4,574.51,1.0
acive,N,5,"['a', 'ci', 've']",2,0.4,636.42,0.95
acks,N,4,"['ack', 's']",1,0.5,597.64,1.0
acloot,N,6,"['ac', 'lo', 'o', 't']",3,0.33,534.54,0.97
acnant,N,6,"['ac', 'n', 'ant']",2,0.5,544.28,1.0
acone,N,5,"['a', 'con', 'e']",2,0.4,661.72,0.97
acorked,N,7,"['ac', 'or', 'k', 'ed']",3,0.43,602.74,0.97
acqure,N,6,"['ac', 'qu', 're']",2,0.5,797.73,0.89
acqured,N,7,"['ac', 'qu', 're', 'd']",3,0.43,833.72,0.89
acreds,N,6,"['ac', 're', 'd', 's']",3,0.33,631.29,0.97
