Stimulus,Lexicality,Length,Subtokens,Num_Splits,Wordiness,Reading_Time,Accuracy
aad,N,3,"['a', 'ad']",1,0.33,628.03,0.95
aaf,N,3,"['a', 'af']",1,0.33,586.11,1.0
aagst,N,5,"['a', 'ag', 'st']",2,0.4,746.65,0.9
aakbeest,N,8,"['a', 'ak', 'be', 'est']",3,0.5,600.92,1.0
aakje,N,5,"['a', 'ak', 'je']",2,0.4,631.08,0.97
aaks,N,4,"['a', 'aks']",1,0.5,623.64,0.97
aakst,N,5,"['a', 'ak', 'st']",2,0.4,603.72,1.0
aakwes,N,6,"['a', 'ak', 'w', 'es']",3,0.33,603.21,1.0
aalde,N,5,"['a', 'alde']",1,0.6,708.89,0.95
aalden,N,6,"['a', 'ald', 'en']",2,0.5,723.83,0.9
aalder,N,6,"['a', 'al', 'der']",2,0.5,616.25,0.92
aalgees,N,7,"['a', 'al', 'ge', 'es']",3,0.43,632.65,0.97
aanbok,N,6,"['aan', 'b', 'ok']",2,0.5,757.44,0.9
aanbol,N,6,"['aan', 'bol']",1,0.67,732.24,0.92
aand,N,4,"['a', 'and']",1,0.5,597.79,1.0
aandge,N,6,"['a', 'and', 'ge']",2,0.5,609.87,1.0
aangiep,N,7,"['a', 'ang', 'ie', 'p']",3,0.43,709.32,1.0
aankeen,N,7,"['aan', 'ke', 'en']",2,0.57,613.69,1.0
aankeerd,N,8,"['aan', 'ke', 'erd']",2,0.62,711.68,0.9
aankrast,N,8,"['a', 'ank', 'rast']",2,0.62,738.13,0.92
aankruig,N,8,"['a', 'ank', 'ru', 'ig']",3,0.5,667.62,0.97
aannicht,N,8,"['a', 'ann', 'icht']",2,0.62,663.67,0.95
aannorst,N,8,"['a', 'ann', 'orst']",2,0.62,605.54,0.97
aanpijk,N,7,"['aan', 'p', 'ijk']",2,0.57,665.82,0.97
aanplok,N,7,"['aan', 'pl', 'ok']",2,0.57,651.29,1.0
aanpunst,N,8,"['aan', 'pun', 'st']",2,0.62,678.82,0.97
aanrof,N,6,"['aan', 'ro', 'f']",2,0.5,650.0,0.92
aanrus,N,6,"['aan', 'rus']",1,0.67,676.21,1.0
aans,N,4,"['a', 'ans']",1,0.5,664.76,0.97
aanschijk,N,9,"['a', 'ans', 'ch', 'ijk']",3,0.56,719.69,0.92
aanschuw,N,8,"['a', 'ans', 'chu', 'w']",3,0.5,821.53,0.51
aanstaam,N,8,"['aan', 'sta', 'am']",2,0.62,759.37,0.92
